city,name_en,severity,flags
beijing,Beijing,OK,无异常
changchun,Changchun,OK,无异常
changsha,Changsha,OK,无异常
chengdu,Chengdu,OK,无异常
chongqing,Chongqing,OK,无异常
dalian,Dalian,OK,无异常
fuzhou,Fuzhou,OK,无异常
guangzhou,Guangzhou,OK,无异常
guiyang,Guiyang,WARNING,建筑数偏少(707)
haikou,Haikou,OK,无异常
hangzhou,Hangzhou,OK,无异常
harbin,Harbin,OK,无异常
hefei,Hefei,OK,无异常
hohhot,Hohhot,WARNING,建筑数偏少(990)
jinan,Jinan,OK,无异常
kunming,Kunming,OK,无异常
lanzhou,Lanzhou,OK,无异常
lhasa,Lhasa,OK,无异常
nanchang,Nanchang,OK,无异常
nanjing,Nanjing,OK,无异常
nanning,Nanning,OK,无异常
ningbo,Ningbo,OK,无异常
qingdao,Qingdao,OK,无异常
shanghai,Shanghai,OK,无异常
shenyang,Shenyang,OK,无异常
shenzhen,Shenzhen,OK,无异常
shijiazhuang,Shijiazhuang,OK,无异常
suzhou,Suzhou,OK,无异常
taiyuan,Taiyuan,OK,无异常
tangshan,Tangshan,OK,无异常
tianjin,Tianjin,OK,无异常
urumqi,Urumqi,OK,无异常
wuhan,Wuhan,OK,无异常
wuxi,Wuxi,OK,无异常
xiamen,Xiamen,WARNING,建筑数偏少(901)
xian,Xian,OK,无异常
xining,Xining,OK,无异常
yinchuan,Yinchuan,OK,无异常
zhengzhou,Zhengzhou,OK,无异常
