city,name_en,climate_zone,ghi_annual,fdsi_score,ghi_rank,fdsi_rank,rank_diff,abs_rank_diff
lhasa,Lhasa,mild,2131.7,0.7555713291814639,1,1,0,0
yinchuan,Yinchuan,cold,1779.1,0.7532619939903749,2,2,0,0
shijiazhuang,Shijiazhuang,cold,1644.5,0.6936664846445428,11,3,8,8
haikou,Haikou,hsww,1728.6,0.6831444282628698,5,4,1,1
lanzhou,Lanzhou,cold,1755.9,0.6758239771749559,3,5,-2,2
hohhot,Hohhot,severe_cold,1685.8,0.6656368260915552,6,6,0,0
kunming,Kunming,mild,1650.2,0.6622508632477819,10,7,3,3
xining,Xining,cold,1754.8,0.6598766396985766,4,8,-4,4
xiamen,Xiamen,hsww,1661.1,0.6566029646418283,8,9,-1,1
beijing,Beijing,cold,1578.1,0.6565415130925012,16,10,6,6
guangzhou,Guangzhou,hsww,1502.2,0.6347707917570217,25,11,14,14
wuhan,Wuhan,hscw,1503.8,0.6058881858259205,24,12,12,12
harbin,Harbin,severe_cold,1424.3,0.5987521302455767,31,13,18,18
shenzhen,Shenzhen,hsww,1560.9,0.5970474182235997,20,14,6,6
changsha,Changsha,hscw,1378.5,0.5920583896145624,35,15,20,20
xian,Xian,cold,1581.6,0.5845559457919374,15,16,-1,1
jinan,Jinan,cold,1588.8,0.581398358791531,14,17,-3,3
changchun,Changchun,severe_cold,1525.0,0.5802176670852928,22,18,4,4
shenyang,Shenyang,severe_cold,1523.1,0.5792193336358121,23,19,4,4
dalian,Dalian,severe_cold,1615.7,0.5787031896063735,12,20,-8,8
zhengzhou,Zhengzhou,cold,1573.4,0.5730642256123373,18,21,-3,3
tianjin,Tianjin,cold,1606.1,0.5707299364188472,13,22,-9,9
wuxi,Wuxi,cold,1530.3,0.5701841932141027,21,23,-2,2
tangshan,Tangshan,severe_cold,1575.3,0.5565515441813562,17,24,-7,7
nanning,Nanning,hsww,1417.5,0.5549705595619122,32,25,7,7
nanchang,Nanchang,hscw,1490.7,0.5520488214427383,27,26,1,1
qingdao,Qingdao,cold,1678.7,0.5486250128441543,7,27,-20,20
hefei,Hefei,hscw,1460.8,0.5481851303334807,28,28,0,0
taiyuan,Taiyuan,cold,1564.4,0.5472957269093196,19,29,-10,10
nanjing,Nanjing,hscw,1456.1,0.5419910419356018,29,30,-1,1
urumqi,Urumqi,severe_cold,1658.3,0.5347829316475635,9,31,-22,22
ningbo,Ningbo,hscw,1425.1,0.4747507969940783,30,32,-2,2
shanghai,Shanghai,hscw,1497.4,0.4516761265618421,26,33,-7,7
fuzhou,Fuzhou,hsww,1402.1,0.4350271850343125,33,34,-1,1
hangzhou,Hangzhou,hscw,1277.6,0.4327574564444105,37,35,2,2
suzhou,Suzhou,cold,1388.3,0.3836056145894091,34,36,-2,2
guiyang,Guiyang,mild,1193.9,0.3593824912528568,38,37,1,1
chengdu,Chengdu,hscw,1292.4,0.3225079773789516,36,38,-2,2
chongqing,Chongqing,hscw,1122.9,0.1822912864801714,39,39,0,0
