city,name_en,ghi_annual,ghi_rank,fdsi_original,rank_original,fdsi_equal_wt,rank_equal_weight,fdsi_no_d5,rank_no_D5,fdsi_no_d4,rank_no_D4,fdsi_pca,rank_pca_composite,n_schemes_misclassified
Chongqing,Lhasa,2131.7,1,0.7421526351435656,1,0.17320000000000002,41,0.14125000000000001,41,0.20975,41,0.0,41,4
Changsha,Yinchuan,1779.1,2,0.7223757098082292,2,0.5522,16,0.54225,17,0.5895,13,0.5932126337509426,28,3
Harbin,Lanzhou,1755.9,3,0.6479453564032501,3,0.5608000000000001,15,0.55425,15,0.5925,12,0.57399516147154,30,3
Chengdu,Kunming,1650.2,10,0.6408482124582222,4,0.3122,39,0.28375,39,0.33299999999999996,39,0.2653212044175386,39,4
Wuhan,Shijiazhuang,1644.5,12,0.6382212445498286,5,0.5677999999999999,13,0.5509999999999999,16,0.5874999999999999,14,0.653252633006291,16,3
Suzhou,Haikou,1728.6,5,0.6367789618870444,6,0.367,37,0.3295,38,0.36,38,0.41883814741837366,36,4
Jinan,Xining,1754.8,4,0.6345153233592646,7,0.5642,14,0.5945,12,0.56425,16,0.6410318819130593,18,3
Beijing,Beijing,1578.1,17,0.6279143895642323,8,0.6195999999999999,10,0.615,10,0.64825,6,0.7052704910450773,12,5
Shijiazhuang,Hohhot,1685.8,6,0.6261325490635676,9,0.6488000000000002,3,0.6412500000000001,4,0.66825,3,0.7218947059748201,9,0
Shanghai,Xiamen,1661.1,8,0.6260596326058684,10,0.44140000000000007,34,0.43400000000000005,32,0.41800000000000004,34,0.530233954690405,33,4
Xian,Xian,1581.6,16,0.5960532545280305,11,0.5504,17,0.5065,23,0.5602499999999999,17,0.7057560188458986,11,2
Ningbo,Guangzhou,1502.2,26,0.5890284604396654,12,0.44799999999999995,33,0.43049999999999994,33,0.45799999999999996,32,0.4659598155777332,34,5
Dalian,Wuhan,1503.8,25,0.5849700721571381,13,0.5452,19,0.521,20,0.5445,22,0.6388002008410806,21,1
Hong Kong,Shenzhen,1560.9,21,0.5736791073158932,14,0.46440000000000003,32,0.4605,31,0.37825,37,0.6892025419930065,13,4
Yinchuan,Changchun,1525.0,23,0.5701261387209176,15,0.7043999999999999,2,0.6645,2,0.73025,2,0.8564495738612359,2,4
Lhasa,Harbin,1424.3,32,0.5649773172681742,16,0.7316,1,0.7212500000000001,1,0.7322500000000001,1,1.0,1,5
Tianjin,Changsha,1378.5,37,0.5612464507241642,17,0.5433999999999999,21,0.5165,22,0.54775,20,0.640495973940271,19,5
Xiamen,Jinan,1588.8,15,0.5540062823874533,18,0.6328,6,0.65725,3,0.63275,10,0.7728753154849166,5,4
Lanzhou,Shenyang,1523.1,24,0.5514550451974904,19,0.6372,5,0.61225,11,0.63925,8,0.8027309813072415,3,4
Shenzhen,Zhengzhou,1573.4,19,0.5487709733847469,20,0.5746,12,0.5905,13,0.5685,15,0.7083340835030798,10,3
Hohhot,Tianjin,1606.1,14,0.5483364819765838,21,0.6298,8,0.61625,9,0.635,9,0.7315726290803002,8,4
Kunming,Dalian,1615.7,13,0.5472305868990813,22,0.6314,7,0.6295000000000001,6,0.6632500000000001,4,0.7419503945415693,7,1
Haikou,Tangshan,1575.3,18,0.54079575239606,23,0.648,4,0.625,7,0.6467499999999999,7,0.790916328137134,4,4
Shenyang,Wuxi,1530.3,22,0.5329878158243317,24,0.5448000000000001,20,0.519,21,0.55175,19,0.6149726591478715,23,0
Changchun,Qingdao,1678.7,7,0.532736651989759,25,0.5464,18,0.52275,19,0.552,18,0.6439421975842863,17,5
Xining,Urumqi,1658.3,9,0.5311203350742477,26,0.6298,8,0.61975,8,0.654,5,0.7551327940966079,6,1
Guangzhou,Taiyuan,1564.4,20,0.5246581956009044,27,0.6058,11,0.632,5,0.61775,11,0.6829990847956815,14,3
Fuzhou,Nanning,1417.5,33,0.5186137525612365,28,0.4064,36,0.36775,36,0.39575000000000005,36,0.44512828077972144,35,1
Taiyuan,Nanchang,1490.7,28,0.5179350572440901,29,0.5198,27,0.49825,25,0.534,25,0.5978040109620439,26,1
Tangshan,Nanjing,1456.1,30,0.5178855340923061,30,0.5227999999999999,26,0.48975,26,0.5215000000000001,28,0.6360391237251751,22,4
Urumqi,Hefei,1460.8,29,0.5147269505050662,31,0.5002,31,0.4245,34,0.506,30,0.6056352169021526,25,1
Guiyang,Hong Kong,1648.5,11,0.4575454884926994,32,0.3422,38,0.34375,37,0.41000000000000003,35,0.15755580497690366,40,5
Nanning,Ningbo,1425.1,31,0.4439615412356935,33,0.5182,28,0.489,27,0.536,24,0.5716424163629462,31,3
Nanchang,Shanghai,1497.4,27,0.4407927865080294,34,0.5146,29,0.48775,29,0.5155,29,0.5946269759372329,27,4
Qingdao,Hangzhou,1277.6,39,0.4068115121274874,35,0.5234,25,0.48849999999999993,28,0.49774999999999997,31,0.6755696621344628,15,3
Hangzhou,Fuzhou,1402.1,34,0.4060509373778737,36,0.4098,35,0.40474999999999994,35,0.44749999999999995,33,0.3771579522014156,37,0
Zhengzhou,Suzhou,1388.3,36,0.3750079582701352,37,0.538,23,0.5022500000000001,24,0.5335000000000001,26,0.6393765254101349,20,4
Taipei,Guiyang,1193.9,40,0.3218401053849994,38,0.2796,40,0.267,40,0.23925000000000002,40,0.3395314615892939,38,0
Wuxi,Chengdu,1292.4,38,0.3206500140272879,39,0.5406000000000001,22,0.529,18,0.54725,21,0.6145122420656984,24,4
Hefei,Taipei,1401.1,35,0.2925817269272065,40,0.5138,30,0.484,30,0.5265,27,0.5639085814088123,32,1
Nanjing,Chongqing,1122.9,41,0.1752349925145734,41,0.5266,24,0.5545,14,0.5435,23,0.5755941486927011,29,3
